,code,market_cap,SMB,BM,HML,price,nextPrice,up,pubDate,date
51,600415.XSHG,100.14,S,0.124937753508,L,2.2735000000000003,2.917,YES,2007-04-30,2007-05-01
52,600770.XSHG,66.93,S,0.125193293916,L,6.157500000000001,8.599,YES,2007-04-18,2007-05-01
53,002025.XSHE,45.11,S,0.127165699898,L,9.678999999999998,8.1785,NO,2007-04-21,2007-05-01
54,000768.XSHE,169.88,M,0.128026895308,L,10.0905,10.125,NO,2007-04-24,2007-05-01
55,600460.XSHG,57.18,S,0.129081910469,L,4.971,3.356,NO,2007-04-25,2007-05-01
56,600108.XSHG,147.0,M,0.12977340952400002,L,7.665000000000001,7.1205,NO,2007-04-28,2007-05-01
57,000960.XSHE,145.49,M,0.131015583204,L,14.853,25.572499999999998,YES,2007-04-20,2007-05-01
58,000792.XSHE,278.01,B,0.13194972149,L,19.192999999999998,52.7905,YES,2007-04-21,2007-05-01
59,600660.XSHG,226.74,B,0.13257981578800002,L,7.0735,9.180499999999999,YES,2007-04-12,2007-05-01
60,600456.XSHG,148.5,M,0.132601940471,L,36.352000000000004,38.214,NO,2007-04-12,2007-05-01
61,000807.XSHE,137.68,M,0.134408160549,L,8.3535,9.0225,NO,2007-04-30,2007-05-01
62,600596.XSHG,101.92,S,0.134494219057,L,13.083,26.439,YES,2007-04-30,2007-05-01
63,600088.XSHG,59.94,S,0.136767351816,L,15.371500000000001,16.2775,NO,2007-04-30,2007-05-01
64,600151.XSHG,118.34,M,0.137765936999,L,13.3025,8.611,NO,2007-04-24,2007-05-01
65,600110.XSHG,59.94,S,0.139261397919,L,5.516,10.148,YES,2007-04-24,2007-05-01
66,600747.XSHG,86.96,S,0.140710698814,L,6.79,7.455,NO,2007-04-30,2007-05-01
67,000001.XSHE,504.94,B,0.140731454146,L,5.8149999999999995,7.4575,YES,2007-04-26,2007-05-01
68,600588.XSHG,95.56,S,0.143029636136,L,5.926,8.4385,YES,2007-04-28,2007-05-01
69,600811.XSHG,250.56,B,0.143384532687,L,8.565,6.004,NO,2007-04-30,2007-05-01
70,000425.XSHE,81.22,S,0.14345877942500002,L,2.221,2.674,NO,2007-04-28,2007-05-01
71,600627.XSHG,144.36,M,0.148827468476,L,25.564999999999998,44.425,YES,2007-04-21,2007-05-01
72,600183.XSHG,126.52,M,0.15151270967900002,L,6.983499999999999,5.641,NO,2007-04-28,2007-05-01
73,000997.XSHE,51.95,S,0.15152213521500002,L,5.403499999999999,6.0024999999999995,NO,2007-04-21,2007-05-01
74,600779.XSHG,80.46,S,0.153110623666,L,13.73,25.5285,YES,2007-04-28,2007-05-01
75,600970.XSHG,77.23,S,0.153413636734,L,4.7945,6.5024999999999995,YES,2007-04-27,2007-05-01
76,000897.XSHE,144.17,M,0.154018618867,L,7.508000000000001,8.2995,NO,2007-04-20,2007-05-01
77,600016.XSHG,1322.75,B,0.15418825713099998,L,4.4285,4.6015,NO,2007-04-25,2007-05-01
78,000970.XSHE,79.34,S,0.156688269395,L,6.9935,5.0995,NO,2007-04-24,2007-05-01
79,600190.XSHG,86.44,S,0.156897950219,L,5.929,5.537,NO,2007-04-18,2007-05-01
80,600009.XSHG,673.47,B,0.156939216591,L,25.2685,19.855,NO,2007-04-28,2007-05-01
81,600834.XSHG,57.33,S,0.15718766775100002,L,9.7255,9.3035,NO,2007-04-21,2007-05-01
82,600797.XSHG,92.77,S,0.157916932307,L,10.6335,9.3215,NO,2007-04-27,2007-05-01
83,600501.XSHG,67.12,S,0.15835207933700002,L,15.787,9.542000000000002,NO,2007-04-30,2007-05-01
84,600066.XSHG,85.02,S,0.1596912526,L,3.35,4.772,YES,2007-04-27,2007-05-01
85,600628.XSHG,91.63,S,0.159816449186,M,12.7685,11.368,NO,2007-04-30,2007-05-01
86,600312.XSHG,70.3,S,0.160017891204,M,7.8805,6.12,NO,2007-04-26,2007-05-01
87,600663.XSHG,494.19,B,0.161701356169,M,11.575,10.940999999999999,NO,2007-04-25,2007-05-01
88,000651.XSHE,210.7,M,0.161870199592,M,2.251,4.876,YES,2007-04-25,2007-05-01
89,600331.XSHG,155.75,M,0.163162204045,M,14.508,26.969499999999996,YES,2007-04-13,2007-05-01
90,000024.XSHE,234.86,B,0.163499273015,M,13.4,16.793,YES,2007-04-30,2007-05-01
91,600037.XSHG,228.06,B,0.16362684802000002,M,18.3545,18.245,NO,2007-04-20,2007-05-01
92,600718.XSHG,97.92,S,0.16364120567399998,M,13.3565,13.551,NO,2007-04-24,2007-05-01
93,600754.XSHG,132.41,M,0.164053692918,M,15.0215,12.639,NO,2007-04-30,2007-05-01
94,000933.XSHE,115.25,M,0.166307440174,M,5.3675,12.0715,YES,2007-04-19,2007-05-01
95,600748.XSHG,99.94,S,0.168300720323,M,7.62,15.141,YES,2007-04-27,2007-05-01
96,600868.XSHG,136.48,M,0.169698312464,M,6.179,4.657,NO,2007-04-30,2007-05-01
97,000060.XSHE,209.41,M,0.17185857566799997,M,8.746,10.2585,NO,2007-04-25,2007-05-01
98,000682.XSHE,77.67,S,0.173447716719,M,6.821999999999999,6.156000000000001,NO,2007-04-30,2007-05-01
99,600871.XSHG,480.8,B,0.173850978124,M,6.6145,4.401,NO,2007-04-30,2007-05-01
100,600585.XSHG,508.3,B,0.17431431746599999,M,10.3875,16.0145,YES,2007-04-30,2007-05-01
101,600177.XSHG,494.84,B,0.175109671331,M,7.995,7.746499999999999,NO,2007-04-26,2007-05-01
102,000012.XSHE,171.31,M,0.175982481056,M,6.486,7.849,NO,2007-04-24,2007-05-01
103,600500.XSHG,218.59,B,0.176225629376,M,12.506,12.2315,NO,2007-04-28,2007-05-01
104,600631.XSHG,236.06,B,0.17855613028900003,M,16.9645,14.064,NO,2007-04-28,2007-05-01
105,002051.XSHE,52.1,S,0.180120303164,M,4.7595,3.809,NO,2007-04-28,2007-05-01
106,000520.XSHE,65.45,S,0.18380750009100003,M,7.724,9.901,YES,2007-04-25,2007-05-01
107,600787.XSHG,89.63,S,0.184302068796,M,5.8815,4.4065,NO,2007-04-26,2007-05-01
108,600601.XSHG,139.64,M,0.184431116246,M,5.603,5.2715,NO,2007-04-21,2007-05-01
109,600639.XSHG,163.98,M,0.18457416263300003,M,13.888,12.886,NO,2007-04-30,2007-05-01
110,601318.XSHG,4836.7202,B,0.18472434806899998,M,24.7,26.715,NO,2007-04-27,2007-05-01
111,000559.XSHE,124.71,M,0.184930698174,M,3.721,3.4765,NO,2007-04-25,2007-05-01
112,600078.XSHG,65.2,S,0.185675022188,M,9.160499999999999,10.497,NO,2007-04-30,2007-05-01
113,000927.XSHE,176.11,M,0.186582817819,M,10.091999999999999,7.42,NO,2007-04-27,2007-05-01
114,600895.XSHG,170.07,M,0.18705529482,M,10.0195,12.4405,YES,2007-04-30,2007-05-01
115,000528.XSHE,108.29,M,0.18711383570700002,M,9.492999999999999,12.81,YES,2007-04-25,2007-05-01
116,600780.XSHG,83.72,S,0.188255018755,M,7.3285,6.641500000000001,NO,2007-04-30,2007-05-01
117,600362.XSHG,727.23,B,0.18855149078400002,M,18.908,28.054000000000002,YES,2007-04-23,2007-05-01
118,600361.XSHG,83.31,S,0.188872709412,M,14.2965,12.994,NO,2007-04-27,2007-05-01
119,600675.XSHG,147.79,M,0.189426982555,M,5.9559999999999995,7.469,YES,2007-04-25,2007-05-01
120,600549.XSHG,115.1,M,0.189927092005,M,12.1025,8.9215,NO,2007-04-28,2007-05-01
121,600058.XSHG,184.0,M,0.190366483478,M,15.541999999999998,29.320999999999998,YES,2007-04-28,2007-05-01
122,000828.XSHE,135.86,M,0.192412941871,M,8.8645,8.0935,NO,2007-04-26,2007-05-01
123,601006.XSHG,1907.58,B,0.193456353213,M,8.6615,10.795,YES,2007-04-27,2007-05-01
124,600812.XSHG,78.38,S,0.193802736059,M,6.4515,7.0275,NO,2007-04-28,2007-05-01
125,600316.XSHG,77.39,S,0.194097851899,M,12.869,14.9255,NO,2007-04-30,2007-05-01
126,600662.XSHG,73.16,S,0.194881879802,M,6.524,6.402,NO,2007-04-28,2007-05-01
127,000751.XSHE,159.19,M,0.194889199599,M,12.85,9.16,NO,2007-04-10,2007-05-01
128,000527.XSHE,235.0,B,0.19497424068100003,M,6.388,12.947,YES,2007-04-26,2007-05-01
129,000089.XSHE,177.08,M,0.196111004071,M,9.835,7.8145,NO,2007-04-25,2007-05-01
130,600428.XSHG,139.69,M,0.198486551617,M,8.2295,15.1095,YES,2007-04-24,2007-05-01
131,600271.XSHG,131.4,M,0.198707189747,M,5.9455,7.927,YES,2007-04-27,2007-05-01
132,000088.XSHE,200.2,M,0.199116291547,M,7.9085,5.7135,NO,2007-04-28,2007-05-01
133,600036.XSHG,2862.76,B,0.20019491096900002,M,9.607,17.5285,YES,2007-04-27,2007-05-01
134,600266.XSHG,161.39,M,0.200451252508,M,10.2625,10.149000000000001,NO,2007-04-27,2007-05-01
135,000022.XSHE,163.71,M,0.200539423698,M,18.152,13.220500000000001,NO,2007-04-27,2007-05-01
136,600887.XSHG,147.97,M,0.20074866902,M,3.3049999999999997,2.5645,NO,2007-04-30,2007-05-01
137,600694.XSHG,136.61,M,0.201889308519,M,36.2445,36.085,NO,2007-04-28,2007-05-01
138,600521.XSHG,44.54,S,0.202549420174,M,4.2795000000000005,4.9045000000000005,NO,2007-04-17,2007-05-01
139,000962.XSHE,58.91,S,0.203257416924,M,12.251000000000001,12.0105,NO,2007-04-24,2007-05-01
140,600635.XSHG,127.29,M,0.203642015347,M,3.569,7.7645,YES,2007-04-30,2007-05-01
